# BLASTN 2.7.1+
# Query: NC_000012.12:c53974956-53962308 Homo sapiens chromosome 12, GRCh38.p13 Primary Assembly
# Database: User specified sequence set (Input: hotair_mouse_gene.fasta)
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, score
# 43 hits found
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	74.820	1247	185	42	10305	11496	1587	2759	0.0	760	842
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	68.369	1606	313	50	8518	10084	19	1468	1.25e-160	556	616
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	72.381	105	28	1	11934	12038	3112	3215	1.04e-09	55.4	60
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	66.138	189	50	6	12408	12594	3658	3834	7.97e-05	39.2	42
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	75.510	49	12	0	11633	11681	2851	2899	0.001	35.6	38
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	77.778	36	8	0	10272	10307	1578	1543	0.041	30.1	32
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	84.615	26	4	0	12204	12229	3368	3393	0.041	30.1	32
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	89.474	19	2	0	6050	6068	1441	1459	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	81.481	27	5	0	10153	10179	1530	1556	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	89.474	19	2	0	5566	5584	1586	1568	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	83.333	24	4	0	10300	10323	2163	2140	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	84.000	25	1	1	10728	10749	2297	2321	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	77.778	36	7	1	11670	11705	2685	2651	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	84.615	26	3	1	12474	12498	3072	3047	0.50	26.5	28
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	93.750	16	1	0	11289	11304	372	387	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	82.609	23	4	0	4091	4113	511	533	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	85.714	21	3	0	5122	5142	588	568	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	100.000	13	0	0	7816	7828	581	593	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	93.750	16	1	0	4274	4289	620	605	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	88.889	18	2	0	10319	10336	1616	1599	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	75.758	33	8	0	5310	5342	1782	1814	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	81.481	27	2	1	5387	5410	2080	2054	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	88.889	18	2	0	9385	9402	2309	2292	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	88.889	18	2	0	12015	12032	3209	3192	1.8	24.7	26
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	100.000	12	0	0	287	298	315	304	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	81.818	22	4	0	3773	3794	355	376	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	88.235	17	2	0	805	821	577	593	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	100.000	12	0	0	10297	10308	690	701	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	88.235	17	2	0	7054	7070	712	728	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	85.000	20	3	0	3025	3044	762	781	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	100.000	12	0	0	2257	2268	1169	1180	6.1	22.9	24
NC_000012.12:c53974956-53962308	NC_000081.6:c102947946-102944062	100.000	12	0	0	9955	9966	1348	1337	6.1	22.9	24
