# BLASTN 2.7.1+
# Query: gi|383286742|ref|NR_047517.1|:1-2370 Homo sapiens HOX transcript antisense RNA (HOTAIR), transcript variant 1, long non-coding RNA
# Database: User specified sequence set (Input: mouse_hotair.fasta)
# Fields: query acc.ver, query length, subject acc.ver, subject length, q. start, q. end, s. start, s. end, evalue, bit score, score, alignment length, % identity, identical, mismatches, gap opens, gaps
# 46 hits found
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	461	1215	361	1096	5.69e-84	298	330	789	69.708	550	152	28	87
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	323	416	79	173	3.16e-11	57.2	62	98	74.490	73	18	3	7
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1653	1757	1449	1552	1.10e-10	55.4	60	105	72.381	76	28	1	1
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2127	2313	1995	2171	8.47e-06	39.2	42	189	66.138	125	50	6	14
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1352	1400	1188	1236	1.03e-04	35.6	38	49	75.510	37	12	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1923	1948	1705	1730	0.004	30.1	32	26	84.615	22	4	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1389	1424	1022	988	0.053	26.5	28	36	77.778	28	7	1	1
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	2193	2217	1409	1384	0.053	26.5	28	26	84.615	22	3	1	1
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1008	1023	372	387	0.19	24.7	26	16	93.750	15	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1734	1751	1546	1529	0.19	24.7	26	18	88.889	16	2	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1944	2001	1750	1805	0.19	24.7	26	60	70.000	42	12	2	6
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	582	596	555	569	0.65	22.9	24	15	93.333	14	1	0	0
gi|383286742|ref|NR_047517.1|:1-2370	2370	NR_047528.1	2222	1946	1960	591	605	0.65	22.9	24	15	93.333	14	1	0	0
